stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
belen,,Belen Rail Runner Station,,34.663307,-106.766229,lunas_belen,https://www.riometro.org/164/Belen,,,,1,
dtwn_bernalillo,,Downtown Bernalillo Rail Runner Station,,35.303623,-106.546982,sandobenalillo,https://www.riometro.org/170/Bernalillo-County,,,,1,
abq,,Downtown Albuquerque Rail Runner Station,,35.083424,-106.647224,abq,https://www.riometro.org/174/Downtown-Albuquerque,,,,1,
bernalillo_co,,Bernalillo County Rail Runner Station,,35.03028,-106.657221,abq,https://www.riometro.org/188/Downtown-Bernalillo,,,,1,
isleta,,Isleta Pueblo Rail Runner Station,,34.946614,-106.673209,isleta,https://www.riometro.org/191/Isleta-Pueblo,,,,1,
kewa,,Kewa Rail Runner Station,,35.511127,-106.321884,kewa,https://www.riometro.org/194/Kewa,,,,1,
lunas,,Los Lunas Rail Runner Station,,34.799497,-106.736875,lunas_belen,https://www.riometro.org/197/Los-Lunas,,,,1,
losranchos,,Los Ranchos/Journal Center Rail Runner Station,,35.17625,-106.617059,abq,https://www.riometro.org/200/Los-Ranchos-Journal-Center,,,,1,
montano,,Montaño Rail Runner Station,,35.136892,-106.632324,abq,https://www.riometro.org/203/Montao,,,,1,
sandia,,Sandia Pueblo Rail Runner Station,,35.210535,-106.597519,abq,https://www.riometro.org/206/Sandia-Pueblo,,,,1,
sf_co599,,Santa Fe County/N.M. 599 Rail Runner Station,,35.591696,-106.060687,nm599,https://www.riometro.org/212/Santa-Fe-County-NM-599,,,,1,
sf,,Santa Fe Depot Rail Runner Station,,35.684669,-105.946625,santafe,https://www.riometro.org/215/Santa-Fe-Depot,,,,1,
socap,,South Capitol Rail Runner Station,,35.672813,-105.957405,santafe,https://www.riometro.org/218/South-Capitol,,,,1,
zia_station,,Zia Road Rail Runner Station,,35.646412,-105.95701,santafe,https://www.riometro.org/221/Zia-Road,,,,1,
sandoval,,Sandoval County/U.S. 550 Rail Runner Station,,35.315857,-106.538716,sandobenalillo,https://www.riometro.org/209/Sandoval-County-US-550,,,,1,
atc_stn,,Alvarado Transportation Center,,35.083581,-106.647968,abq-bus,,1,,,,
atc,,Alvarado Transportation Center,,35.083231,-106.647548,abq-bus,,,atc_stn,,1,
4359,,Central/Unser (C.U.T.C. Bay A),,35.078493,-106.725144,abq-bus,,,,,1,
riograndebridge,,N.M. 147 east of Rio Grande Bridge,,34.906552,-106.6827,lunas_belen-bus,,,,,1,
casino66,,Rt. 66 Casino,,35.028504,-106.952213,abq-bus,,,,,1,
santodomingoelementary,,Santa Domingo Elementary,,35.4806189,-106.3160996,cochiti_bus2,,,,,1,
santodomingohealth,,Santa Domingo Head Start/Health Center,,35.48074,-106.314789,cochiti_bus2,,,,,1,
santodomingopueblo,,Santa Domingo Tribal Office,,35.513937,-106.361308,cochiti_bus2,,,,,1,
cochitielementary,,Cochiti Elementary,,35.5809523,-106.3216442,cochiti_bus2,,,,,1,
cochitipueblo,,Cochiti Pueblo,,35.607977,-106.348801,cochiti_bus2,,,,,1,
penablanca_nb,,Pena Blanca,,35.567829,-106.338467,cochiti_bus2,,,,,1,
penablanca_sb,,Pena Blanca,,35.566921,-106.338641,cochiti_bus2,,,,,1,
cochitilake,,Town of Cochiti Lake,,35.646268,-106.335527,cochiti_bus2,,,,,1,
sandoval_bus,,Sandoval County/U.S. 550 Station Bus,,35.315907,-106.538666,sando_550_bus,,,,,1,
algodones,,Algodones,,35.378984,-106.481185,sandobenalillo-bus,,,,,1,
